,2023-03-31,2022-03-31,2021-03-31
Free Cash Flow,14831530000.0,11824830000.0,-1628310000.0
Repayment Of Debt,-2224600000.0,-352860000.0,-653640000.0
Issuance Of Capital Stock,13270000.0,1466350000.0,2370380000.0
Capital Expenditure,-758470000.0,-1466730000.0,-793680000.0
End Cash Position,25163630000.0,18716490000.0,11698160000.0
Beginning Cash Position,18716490000.0,11698160000.0,16140530000.0
Changes In Cash,6447140000.0,7018330000.0,-4442370000.0
Financing Cash Flow,-2211330000.0,1113490000.0,1716740000.0
Net Common Stock Issuance,13270000.0,1466350000.0,2370380000.0
Common Stock Issuance,13270000.0,1466350000.0,2370380000.0
Net Issuance Payments Of Debt,-2224600000.0,-352860000.0,-653640000.0
Net Long Term Debt Issuance,-2224600000.0,-352860000.0,-653640000.0
Long Term Debt Payments,-2224600000.0,-352860000.0,-653640000.0
Investing Cash Flow,-6931530000.0,-7386720000.0,-5324480000.0
Net Investment Purchase And Sale,-6177080000.0,-5924890000.0,-4530970000.0
Purchase Of Investment,-6177080000.0,-5924890000.0,-4530970000.0
Net PPE Purchase And Sale,-754450000.0,-1461830000.0,-793510000.0
Sale Of PPE,4020000.0,4900000.0,170000.0
Purchase Of PPE,-758470000.0,-1466730000.0,-793680000.0
Operating Cash Flow,15590000000.0,13291560000.0,-834630000.0
Taxes Refund Paid,-707100000.0,-543770000.0,-963020000.0
Change In Working Capital,7031190000.0,8241720000.0,-4504390000.0
Change In Other Current Liabilities,1907830000.0,1745690000.0,593650000.0
Change In Other Current Assets,-1043860000.0,-389260000.0,430790000.0
Other Non Cash Items,207020000.0,168880000.0,87150000.0
Provisionand Write Offof Assets,3158410000.0,4372940000.0,2692540000.0
Depreciation And Amortization,586550000.0,408840000.0,295770000.0
Depreciation,586550000.0,408840000.0,295770000.0
Gain Loss On Investment Securities,0.0,-4140000.0,-150260000.0
Gain Loss On Sale Of PPE,0.0,-630000.0,210000.0
Net Income From Continuing Operations,5358140000.0,797130000.0,1514360000.0
